Country,income,breakeven,breakeven_lag
AFG,Low,2030,1974
AGO,Lower middle,1993,1999
ALB,Upper middle,2030,1983
ARE,High,1959,1973
ARG,Upper middle,1985,1969.5
ARM,Upper middle,2030,1986
AUS,High,1967,1947
AUT,High,2030,1948
AZE,Upper middle,2030,1988
BDI,Low,1995,1995
BEL,High,2030,1951
BEN,Low,1984,2001
BFA,Low,1967,1983
BGD,Lower middle,1971,1974
BGR,Upper middle,2030,1991
BHS,High,1955,1966
BIH,Upper middle,2030,1987
BLR,Upper middle,2030,1991
BLZ,Upper middle,1949,1960
BOL,Lower middle,1970,1961
BRA,Upper middle,1957,1961
BRN,High,1961,1975
BTN,Lower middle,2005,1977
BWA,Upper middle,1977,1979
CAF,Low,1989,2007
CAN,High,2030,1947
CHE,High,2030,1949
CHL,High,2030,1975
CHN,Upper middle,2030,1973
CIV,Lower middle,1981,1997
CMR,Lower middle,1985,1998.5
COD,Low,1983,1993
COG,Lower middle,1982,1997
COL,Upper middle,1962,1962
COM,Lower middle,1989,2005
CPV,Lower middle,2002,2004
CRI,Upper middle,1961,1964
CUB,Upper middle,1953,1963
CYP,High,1986,1978.5
CZE,High,2030,1991
DEU,High,2030,1950
DJI,Lower middle,1967,1984
DNK,High,2030,1954
DOM,Upper middle,1955,1965
DZA,Upper middle,2005,1987
ECU,Upper middle,1969,1964
EGY,Lower middle,1979.5,1983
ERI,Low,1985,1993
ESP,High,1974,1943
EST,High,2030,1990
ETH,Low,1998,1992.5
FIN,High,2030,1946
FJI,Upper middle,1977,1986
FRA,High,2030,1948
GAB,Upper middle,1981,1996
GBR,High,2030,1954
GEO,Upper middle,2030,1983
GHA,Lower middle,1980,1998
GIN,Low,1977,1990
GMB,Low,1980,1996.5
GNB,Low,1984,2002
GNQ,Upper middle,1964,1973
GRC,High,1969,1944
GTM,Upper middle,1957,1962.5
GUY,Upper middle,1950,1962
HND,Lower middle,1952,1960
HRV,High,2030,1987
HTI,Low,1959,1970
HUN,High,2030,1986
IDN,Lower middle,1965,1974
IND,Lower middle,1956,1967
IRL,High,2030,1960
IRN,Upper middle,2017,1983
IRQ,Upper middle,1972,1976
ISL,High,2030,1954
ISR,High,1981,1978
ITA,High,2014,1946
JAM,Upper middle,1966,1968
JOR,Upper middle,1992,1980
JPN,High,1987,1945
KAZ,Upper middle,2030,1990
KEN,Lower middle,1998,1996
KGZ,Lower middle,2030,1987
KHM,Lower middle,1959,1972.5
KOR,High,2030,1979
KWT,High,1961,1973
LAO,Lower middle,1969,1979
LBN,Upper middle,2030,1988
LBR,Low,1982,1999
LBY,Upper middle,1986,1987
LKA,Upper middle,1961,1973
LSO,Lower middle,2030,2014.5
LTU,High,2030,1994
LUX,High,2030,1950
LVA,High,2030,1996
MAR,Lower middle,2001,1983
MDA,Lower middle,2030,1985
MDG,Low,1996,1996
MEX,Upper middle,1965,1960
MKD,Upper middle,2030,1988
MLI,Low,1966,1982
MMR,Lower middle,1966,1978
MNE,Upper middle,2030,1992
MNG,Lower middle,2030,1985.5
MOZ,Low,1978,1990
MRT,Lower middle,1963,1978
MUS,Upper middle,1989,2004
MWI,Low,1978,1984
MYS,Upper middle,1961.5,1972
NAM,Upper middle,1981.5,1984
NCL,High,1977,1979
NER,Low,1965,1983
NGA,Lower middle,1979,1996
NIC,Lower middle,1949,1959
NLD,High,2030,1951
NOR,High,2030,1952
NPL,Low,1964,1966
NZL,High,2030,1954
OMN,High,1964,1976
PAK,Lower middle,1957,1964
PAN,High,1954,1963.5
PER,Upper middle,1990,1964
PHL,Lower middle,1966,1979
PNG,Lower middle,1979,1981.5
POL,High,2030,1991.5
PRT,High,1973,1948
PRY,Upper middle,1958,1960
QAT,High,1962,1976
ROU,Upper middle,2030,1989
RUS,Upper middle,2030,1993
RWA,Low,1995,1994
SAU,High,1961,1974
SDN,Lower middle,1964,1981
SEN,Lower middle,1976,1993
SLB,Lower middle,1966,1979
SLE,Low,1983,2002
SLV,Lower middle,1955,1961
SOM,Low,1980,1998
SRB,Upper middle,2030,1988
STP,Lower middle,1980,1997
SUR,Upper middle,1948,1960
SVK,High,2030,1990
SVN,High,2030,1987
SWE,High,2030,1951
SWZ,Lower middle,2001,1999
SYR,Low,2001,1985
TCD,Low,1973,1991
TGO,Low,1981,1998
THA,Upper middle,1957,1969
TJK,Low,2030,1982
TKM,Upper middle,2020,1981
TTO,High,1958,1969
TUN,Lower middle,1989,1984
TUR,Upper middle,2030,1946
TZA,Low,1984,1991
UGA,Low,1987,1995
UKR,Lower middle,2030,1989
URY,High,1982,1971
USA,High,1994,1944
UZB,Lower middle,2030,1979
VCT,Upper middle,1958,1969
VEN,Upper middle,1951,1962
VNM,Lower middle,1963,1971
VUT,Lower middle,1988,1987
WSM,Upper middle,1971,1985
YEM,Low,1980,1988
ZAF,Upper middle,2009,1993
ZMB,Lower middle,1982,1985
ZWE,Lower middle,1984.5,1985
